id,title,slug,subtitle,hero_image,is_published,order,created_at,updated_at
1,Обо мне,about,"История проекта, ценности и подход к работе с людьми и местом.",pages/hero/101.webp,t,0,2026-02-17 12:54:08.317667+00,2026-02-17 12:57:55.00087+00
3,Волонтерские программы,volunteers,Практические форматы участия в развитии пространства: от разовых выездов до регулярного участия.,pages/hero/101_kJ8Y5Ds.webp,t,2,2026-02-17 13:08:47.721795+00,2026-02-17 14:40:23.790858+00
4,Беговой клуб,running-club,"Сообщество регулярных тренировок в природном ритме: с поддержкой, без давления и с устойчивой динамикой.",pages/hero/101_rCSN5B9.webp,t,3,2026-02-17 13:08:47.726123+00,2026-02-17 14:41:11.064494+00
5,Братство лосей,brotherhood,"ываываываываываывавы
выдьоаывтомиыаовмы

ыамавыпыамымвы",pages/hero/102_rwggPYA.webp,t,1,2026-02-17 15:46:31.038679+00,2026-02-17 15:55:45.468893+00
